Problem,Dim,Algorithm,Status,Iterations,f(XStar),f(BKXStar),Delta,Seconds,XStar,BKXStar,Start point,Step.Null,Step.Serious,f1,gf1,gf2,qp.1C,qp.2C,qp.avgRow,qp.lb<0,qp.maxRow,qp.solv,rho.min,way.alt,rho.max
JB05,400,DADC,Success,53,7.896653E-05,0,7.9e-05,0.0314,[-0.8297  0.0023  0.004  ...  0.0025  0.0025  0.0025],[0.0025 0.0025 0.0025 ... 0.0025 0.0025 0.0025],[0.0025 0.     0.     ... 0.     0.     0.    ],44.0,7,52,52,8,,8,5.2,3.0,10,53,6.0,1,
JB05,500,DADC,Success,53,7.944572E-05,0,7.9e-05,0.1133,[-0.8285  0.0018  0.0035 ...  0.002   0.002   0.002 ],[0.002 0.002 0.002 ... 0.002 0.002 0.002],[0.002 0.    0.    ... 0.    0.    0.   ],44.0,7,52,52,8,,8,5.2,3.0,10,53,6.0,1,
JB05,1000,DADC,Success,53,8.03556E-05,0,8e-05,0.0704,"[-8.2632e-01  8.2093e-04  2.4846e-03 ...  9.9827e-04  9.9827e-04
  9.9827e-04]",[0.001 0.001 0.001 ... 0.001 0.001 0.001],[0.001 0.    0.    ... 0.    0.    0.   ],44.0,7,52,52,8,,8,5.2,3.0,10,53,6.0,1,
JB05,1500,DADC,Success,53,8.064552E-05,0,8.1e-05,0.0402,"[-8.2563e-01  4.8722e-04  2.1541e-03 ...  6.6551e-04  6.6551e-04
  6.6551e-04]",[0.0007 0.0007 0.0007 ... 0.0007 0.0007 0.0007],[0.0007 0.     0.     ... 0.     0.     0.    ],44.0,7,52,52,8,,8,5.2,2.0,10,53,6.0,1,
JB05,3000,DADC,Success,54,8.093255E-05,0,8.1e-05,0.0741,"[-8.2495e-01  1.5352e-04  1.8236e-03 ...  3.3275e-04  3.3275e-04
  3.3275e-04]",[0.0003 0.0003 0.0003 ... 0.0003 0.0003 0.0003],[0.0003 0.     0.     ... 0.     0.     0.    ],45.0,7,53,53,8,,8,5.2,2.0,10,54,6.0,1,
JB05,10000,DADC,Success,53,8.113834E-05,0,8.1e-05,0.0932,"[-8.2448e-01 -8.0067e-05  1.5923e-03 ...  9.9825e-05  9.9825e-05
  9.9825e-05]",[0.0001 0.0001 0.0001 ... 0.0001 0.0001 0.0001],[0.0001 0.     0.     ... 0.     0.     0.    ],44.0,7,52,52,8,,8,5.2,3.0,10,53,6.0,1,
JB05,15000,DADC,Success,53,8.115598E-05,0,8.1e-05,0.0701,"[-8.2441e-01 -1.1344e-04  1.5592e-03 ...  6.6550e-05  6.6550e-05
  6.6550e-05]",[6.6667e-05 6.6667e-05 6.6667e-05 ... 6.6667e-05 6.6667e-05 6.6667e-05],[6.6667e-05 0.0000e+00 0.0000e+00 ... 0.0000e+00 0.0000e+00 0.0000e+00],44.0,7,52,52,8,,8,5.2,3.0,10,53,6.0,1,
JB05,20000,DADC,Success,53,8.117792E-05,0,8.1e-05,0.1138,"[-8.2438e-01 -1.3017e-04  1.5429e-03 ...  4.9912e-05  4.9912e-05
  4.9912e-05]",[5.e-05 5.e-05 5.e-05 ... 5.e-05 5.e-05 5.e-05],[5.e-05 0.e+00 0.e+00 ... 0.e+00 0.e+00 0.e+00],44.0,7,52,52,8,,8,5.2,3.0,10,53,6.0,1,
JB05,50000,DADC,Success,53,8.113481E-05,0,8.1e-05,0.1835,"[-8.2433e-01 -1.6487e-04  1.5360e-03 ...  1.9966e-05  1.9966e-05
  1.9966e-05]",[2.e-05 2.e-05 2.e-05 ... 2.e-05 2.e-05 2.e-05],[2.e-05 0.e+00 0.e+00 ... 0.e+00 0.e+00 0.e+00],44.0,7,52,52,8,,8,5.2,3.0,10,53,6.0,1,
JB06,2,DADC,Success,13,-2.5,-2.5,4.4e-16,0.0064,[5.0000e+00 3.9524e-14],[5. 0.],[10.  1.],,10,11,11,11,2.0,11,2.0,,2,11,,2,
JB07,2,DADC,Fail,355,3.988932,0.5,3.5,0.3293,[-2.9888  2.9888],[0.5 0.5],[-2.  1.],322.0,23,346,346,24,,24,11.2,164.0,42,355,23.0,9,
JB08,3,DADC,Success,36,3.500017,3.5,1.7e-05,0.0179,[0.7499 1.2521 0.2479],[0.75 1.25 0.25],[0.5 0.5 0.5],19.0,9,29,29,10,5.0,16,2.9,4.0,6,31,9.0,7,
JB09,4,DADC,Fail,18,9.200007,1.833333,7.4,0.0106,[1.6011 1.0005 4.7999 2.3333],[2.3333 0.3333 0.5    2.    ],[4. 2. 4. 2.],11.0,5,17,17,6,1.0,6,3.1,3.0,5,17,5.0,1,
JB10,2,DADC,Success,7,-0.5,-0.5,0.0,0.0030,[-0.5  0.5],[-0.5  0.5],[0.1 0.2],1.0,3,5,5,4,2.0,4,2.2,,3,5,2.0,2,
JB10,4,DADC,Success,16,-2.5,-2.5,0.0,0.0070,[-0.5  1.  -1.   0.5],[-0.5  1.  -1.   0.5],[0.1 0.2 0.3 0.4],2.0,10,13,13,11,3.0,11,2.2,,4,13,5.0,3,
JB10,5,DADC,Success,10,-2.5,-2.5,0.0,0.0043,[-5.0000e-01  1.0000e+00  4.3368e-19 -1.0000e+00  5.0000e-01],[-0.5  1.   0.  -1.   0.5],[0.1 0.2 0.3 0.4 0.5],2.0,5,8,8,6,2.0,6,2.4,1.0,4,8,1.0,2,
JB10,10,DADC,Success,22,-8.5,-8.5,0.0,0.0102,[-0.5  1.  -1.  ...  1.  -1.   0.5],[-0.5  1.  -1.  ...  1.  -1.   0.5],[0.1 0.2 0.3 ... 0.8 0.9 1. ],1.0,17,19,19,18,3.0,18,2.1,1.0,3,19,5.0,3,
JB10,20,DADC,Success,47,-18.5,-18.5,0.0,0.0244,[-0.5  1.  -1.  ...  1.  -1.   0.5],[-0.5  1.  -1.  ...  1.  -1.   0.5],[0.1 0.2 0.3 ... 1.8 1.9 2. ],4.0,38,43,43,39,4.0,39,2.2,3.0,6,43,14.0,4,
JB10,50,DADC,Success,127,-48.5,-48.5,0.0,0.0741,[-0.5  1.  -1.  ...  1.  -1.   0.5],[-0.5  1.  -1.  ...  1.  -1.   0.5],[0.1 0.2 0.3 ... 4.8 4.9 5. ],8.0,115,124,124,116,3.0,116,2.3,7.0,10,124,49.0,3,
JB10,100,DADC,Success,224,-98.5,-98.5,0.0,0.1445,[-0.5  1.  -1.  ...  1.  -1.   0.5],[-0.5  1.  -1.  ...  1.  -1.   0.5],[ 0.1  0.2  0.3 ...  9.8  9.9 10. ],8.0,211,220,220,212,4.0,212,2.2,5.0,10,220,99.0,4,
JB10,150,DADC,Success,320,-148.5,-148.5,0.0,0.2274,[-0.5  1.  -1.  ...  1.  -1.   0.5],[-0.5  1.  -1.  ...  1.  -1.   0.5],[ 0.1  0.2  0.3 ... 14.8 14.9 15. ],11.0,305,317,317,306,3.0,306,2.2,9.0,13,317,138.0,3,
JB10,200,DADC,Success,201,-198.5,-198.5,0.0,0.1550,[-0.5  1.  -1.  ...  1.  -1.   0.5],[-0.5  1.  -1.  ...  1.  -1.   0.5],[ 0.1  0.2  0.3 ... 19.8 19.9 20. ],9.0,187,197,197,188,4.0,188,2.2,7.0,11,197,77.0,4,
