Problem,Dim,Algorithm,Status,Iterations,f(XStar),f(BKXStar),Delta,Seconds,XStar,BKXStar,Start point,Step.Null,Step.Serious,f1,gf1,gf2,qp.1C,qp.2C,qp.avgRow,qp.lb<0,qp.maxRow,qp.solv,rho.min,way.alt,rho.max
JB01,2,DADC,Success,209,2.000001,2,7.1e-07,0.1724,[1.     1.0005],[1. 1.],[2. 2.],172.0,24,197,197,25,1.0,26,5.7,102.0,13,208,24.0,12,
JB02,2,DADC,Success,32,9.315926E-06,0,9.3e-06,0.0192,[1. 1.],[1. 1.],[-1.2  1. ],8.0,20,29,29,21,,24,2.2,1.0,3,32,2.0,3,
JB03,4,DADC,Success,84,2.790233E-07,0,2.8e-07,0.0607,[1. 1. 1. 1.],[1. 1. 1. 1.],[1. 3. 3. 1.],67.0,13,81,81,14,,14,5.1,26.0,11,84,9.0,3,1.0
JB04,2,DADC,Success,6,1.467715E-12,0,1.5e-12,0.0039,[ 1.75 -1.75],[1. 1.],[ 1 -2],2.0,2,5,5,3,,4,2.3,,3,6,,1,
JB04,5,DADC,Success,11,3.449934E-10,0,3.4e-10,0.0068,[ 4.  4. -4. -4. -4.],[1. 1. 1. 1. 1.],[ 1  2 -3 -4 -5],8.0,1,10,10,2,,2,4.1,,6,11,,1,
JB04,10,DADC,Success,21,1.559428E-09,0,1.6e-09,0.0115,[ 7.75  7.75  7.75 ... -7.75 -7.75 -7.75],[1. 1. 1. ... 1. 1. 1.],[  1   2   3 ...  -8  -9 -10],18.0,1,20,20,2,,2,6.7,,11,21,,1,
JB04,50,DADC,Success,101,4.249409E-08,0,4.2e-08,0.0599,[ 37.75  37.75  37.75 ... -37.75 -37.75 -37.75],[1. 1. 1. ... 1. 1. 1.],[  1   2   3 ... -48 -49 -50],98.0,1,100,100,2,,2,26.7,,51,101,,1,
JB04,100,DADC,Success,201,1.716589E-07,0,1.7e-07,0.1558,[ 75.25  75.25  75.25 ... -75.25 -75.25 -75.25],[1. 1. 1. ... 1. 1. 1.],[   1    2    3 ...  -98  -99 -100],198.0,1,200,200,2,,2,51.7,,101,201,,1,
JB04,150,DADC,Success,301,3.875793E-07,0,3.9e-07,0.3679,[ 112.75  112.75  112.75 ... -112.75 -112.75 -112.75],[1. 1. 1. ... 1. 1. 1.],[   1    2    3 ... -148 -149 -150],298.0,1,300,300,2,,2,76.7,,151,301,,1,
JB04,200,DADC,Success,401,6.901282E-07,0,6.9e-07,0.5156,[ 150.25  150.25  150.25 ... -150.25 -150.25 -150.25],[1. 1. 1. ... 1. 1. 1.],[   1    2    3 ... -198 -199 -200],398.0,1,400,400,2,,2,101.7,,201,401,,1,
JB04,250,DADC,Success,501,1.079497E-06,0,1.1e-06,0.7330,[ 187.75  187.75  187.75 ... -187.75 -187.75 -187.75],[1. 1. 1. ... 1. 1. 1.],[   1    2    3 ... -248 -249 -250],498.0,1,500,500,2,,2,126.7,,251,501,,1,
JB04,500,DADC,Success,1001,4.326517E-06,0,4.3e-06,3.1581,[ 375.25  375.25  375.25 ... -375.25 -375.25 -375.25],[1. 1. 1. ... 1. 1. 1.],[   1    2    3 ... -498 -499 -500],998.0,1,1000,1000,2,,2,251.7,,501,1001,,1,
JB04,750,DADC,Success,1501,9.740179E-06,0,9.7e-06,9.1747,[ 562.75  562.75  562.75 ... -562.75 -562.75 -562.75],[1. 1. 1. ... 1. 1. 1.],[   1    2    3 ... -748 -749 -750],1498.0,1,1500,1500,2,,2,376.7,,751,1501,,1,
JB05,2,DADC,Success,5,5.729102E-07,0,5.7e-07,0.0064,[0.1187 0.5   ],[0.5 0.5],[0.5 0. ],2.0,1,4,4,2,,3,2.4,,3,5,,1,
JB05,5,DADC,Success,27,2.463807E-12,0,2.5e-12,0.0188,[-0.3447  0.2     0.2     0.2     0.2   ],[0.2 0.2 0.2 0.2 0.2],[0.2 0.  0.  0.  0. ],20.0,5,26,26,6,,6,3.9,2.0,7,27,5.0,1,
JB05,10,DADC,Success,30,3.549975E-05,0,3.5e-05,0.0191,[-0.5339  0.0997  0.1013 ...  0.0991  0.0987  0.1011],[0.1 0.1 0.1 ... 0.1 0.1 0.1],[0.1 0.  0.  ... 0.  0.  0. ],23.0,5,29,29,6,,6,4.3,1.0,9,30,5.0,1,
JB05,50,DADC,Success,53,0.0001075776,0,0.00011,0.0322,[-0.534   0.0195  0.0233 ...  0.0185  0.0179  0.0172],[0.02 0.02 0.02 ... 0.02 0.02 0.02],[0.02 0.   0.   ... 0.   0.   0.  ],44.0,6,51,51,7,,7,5.3,1.0,10,53,4.0,2,
JB05,100,DADC,Success,64,9.389261E-05,0,9.4e-05,0.0408,[-0.5664  0.0092  0.0138 ...  0.0097  0.0097  0.0097],[0.01 0.01 0.01 ... 0.01 0.01 0.01],[0.01 0.   0.   ... 0.   0.   0.  ],54.0,7,62,62,8,,8,5.7,6.0,10,64,6.0,2,
JB05,150,DADC,Success,51,5.663885E-05,0,5.7e-05,0.0508,[-0.5261  0.0066  0.007  ...  0.0065  0.0065  0.0065],[0.0067 0.0067 0.0067 ... 0.0067 0.0067 0.0067],[0.0067 0.     0.     ... 0.     0.     0.    ],42.0,5,48,48,6,,6,5.8,1.0,10,51,5.0,3,
JB05,200,DADC,Success,51,5.08989E-05,0,5.1e-05,0.0443,[-0.5265  0.0049  0.0055 ...  0.0049  0.0049  0.0049],[0.005 0.005 0.005 ... 0.005 0.005 0.005],[0.005 0.    0.    ... 0.    0.    0.   ],42.0,5,48,48,6,,6,5.8,1.0,10,51,5.0,3,
JB05,250,DADC,Success,53,7.742501E-05,0,7.7e-05,0.0404,[-0.8336  0.0038  0.0055 ...  0.004   0.004   0.004 ],[0.004 0.004 0.004 ... 0.004 0.004 0.004],[0.004 0.    0.    ... 0.    0.    0.   ],44.0,7,52,52,8,,8,5.2,3.0,10,53,6.0,1,
JB05,300,DADC,Success,53,7.814691E-05,0,7.8e-05,0.0311,[-0.8318  0.0032  0.0048 ...  0.0033  0.0033  0.0033],[0.0033 0.0033 0.0033 ... 0.0033 0.0033 0.0033],[0.0033 0.     0.     ... 0.     0.     0.    ],44.0,7,52,52,8,,8,5.2,3.0,10,53,6.0,1,
JB05,350,DADC,Success,53,7.860826E-05,0,7.9e-05,0.0313,[-0.8306  0.0027  0.0043 ...  0.0029  0.0029  0.0029],[0.0029 0.0029 0.0029 ... 0.0029 0.0029 0.0029],[0.0029 0.     0.     ... 0.     0.     0.    ],44.0,7,52,52,8,,8,5.2,3.0,10,53,6.0,1,
